#"Progress (%)" "Step" "Potential Energy (kJ/mole)" "Kinetic Energy (kJ/mole)" "Total Energy (kJ/mole)" "Temperature (K)" "Speed (ns/day)" "Time Remaining"
7.9% 475000 -76213.9249934135 14331.253002119176 -61882.67199129432 296.92532414506246 801 20:02
7.9% 480000 -76862.74385061361 14382.464322836042 -62480.279527777566 297.98635753840944 801 20:01
8.0% 485000 -76777.98945548551 14243.70078812725 -62534.28866735826 295.11135369074657 801 20:00
8.1% 490000 -76400.505280026 14443.67967552897 -61956.82560449703 299.25466174309514 801 19:59
8.2% 495000 -76524.20690141819 14335.004120595228 -62189.20278082296 297.0030425461851 801 19:58
8.3% 500000 -76437.93376433905 14738.288390128124 -61699.64537421092 305.35857938835466 801 19:57
8.3% 505000 -76406.41512916428 14417.999728186616 -61988.41540097766 298.72260591465295 801 19:56
8.4% 510000 -76571.83454725862 14234.187336925608 -62337.647210333016 294.9142470887371 801 19:55
8.5% 515000 -76454.92221392422 14185.00845698791 -62269.91375693631 293.8953232818353 801 19:54
8.6% 520000 -76368.77786983643 14707.513217629603 -61661.264652206824 304.720956978898 801 19:53
8.7% 525000 -76593.7221075123 14487.184282613684 -62106.53782489861 300.1560218376048 800 19:52
8.8% 530000 -76522.20548986399 14181.986984916784 -62340.2185049472 293.83272222566933 800 19:52
8.8% 535000 -76641.58675289608 14428.716963557668 -62212.86978933841 298.94465339270795 800 19:51
8.9% 540000 -76263.90442504204 14449.192904147938 -61814.7115208941 299.3688888239045 800 19:50
9.0% 545000 -76729.02377639571 14611.13797600622 -62117.88580038949 302.72418462030873 800 19:49
9.1% 550000 -76118.25281643929 14586.5571648571 -61531.69565158219 302.21490149502154 800 19:48
9.2% 555000 -76678.5408942609 14686.728387770545 -61991.81250649036 304.290321755147 801 19:46
9.3% 560000 -76284.92651478606 14149.446142238023 -62135.48037254803 293.1585173770831 801 19:43
9.3% 565000 -76596.33488122419 14743.192462778929 -61853.14241844526 305.4601855327201 802 19:41
