#"Progress (%)" "Step" "Potential Energy (kJ/mole)" "Kinetic Energy (kJ/mole)" "Total Energy (kJ/mole)" "Temperature (K)" "Speed (ns/day)" "Time Remaining"
6.9% 420000 -76106.85499340972 14596.889241767885 -61509.96575164184 302.4289689799353 791 20:29
7.0% 425000 -76316.03892974346 14711.21711562559 -61604.821814117866 304.7976970317668 791 20:28
7.1% 430000 -76420.07916911086 14590.735067823449 -61829.34410128741 302.30146232765395 791 20:27
7.2% 435000 -76480.53495528724 14602.009547734739 -61878.5254075525 302.5350552034291 791 20:26
7.3% 440000 -75894.22858681563 14476.708178884504 -61417.52040793113 299.9389703003035 791 20:25
7.4% 445000 -75763.84069105031 14450.44442711697 -61313.39626393334 299.3948187871254 791 20:24
7.4% 450000 -76007.12617204947 14389.9438690451 -61617.18230300437 298.1413242173351 791 20:24
7.5% 455000 -76046.22934562652 14383.516183417823 -61662.713162208696 298.00815075105834 790 20:23
7.6% 460000 -76226.14469647466 14367.527920673503 -61858.61677580116 297.67689429377776 790 20:22
7.7% 465000 -76499.55480537916 14561.137297301711 -61938.417508077444 301.6882341887858 790 20:21
7.8% 470000 -76444.42903403853 14583.627371139051 -61860.80166289948 302.15419989766076 790 20:21
7.9% 475000 -76409.49820262389 14471.934437664435 -61937.56376495945 299.8400644573221 790 20:19
7.9% 480000 -76209.53233495035 14522.485525771242 -61687.046809179104 300.8874186712056 789 20:19
8.0% 485000 -75835.29283677449 14356.09408580723 -61479.19875096726 297.43999978613164 789 20:18
8.1% 490000 -76074.61630113272 14499.493300490427 -61575.123000642285 300.4110490234635 789 20:17
8.2% 495000 -75610.49279025508 14264.54436029143 -61345.94842996365 295.5432059803038 789 20:16
8.3% 500000 -76105.91591623338 14537.83220523031 -61568.08371100307 301.2053823392993 789 20:15
8.3% 505000 -76425.49381183165 14208.980929545096 -62216.51288228655 294.39200240567385 789 20:14
8.4% 510000 -75764.2679875727 14675.869247508836 -61088.39874006387 304.06533418834675 789 20:13
8.5% 515000 -76298.36624141352 14195.653887030592 -62102.71235438292 294.11588304486645 789 20:12
8.6% 520000 -76297.07452261113 14367.633649121672 -61929.44087348946 297.67908485267304 789 20:11
8.7% 525000 -76226.81340239538 14610.14988660854 -61616.66351578684 302.7037126654387 789 20:10
8.8% 530000 -76200.71397052945 14735.469922632887 -61465.244047896565 305.300184328656 789 20:09
8.8% 535000 -76311.28446158508 14400.252094136167 -61911.03236744891 298.35489752289834 788 20:08
8.9% 540000 -76337.79989372751 14418.228527581437 -61919.571366146076 298.72734634694183 788 20:07
9.0% 545000 -76003.7780602786 14219.148568316397 -61784.629491962194 294.6026629416027 788 20:06
9.1% 550000 -76393.74605576723 14588.331836586689 -61805.414219180544 302.2516704347982 788 20:05
9.2% 555000 -76100.6483427517 14435.045112365795 -61665.603230385896 299.0757645827632 789 20:03
9.3% 560000 -76177.64866296687 14742.299733590837 -61435.34892937603 305.44168932003663 790 20:00
9.3% 565000 -75765.23744496368 14261.724255839526 -61503.51318912416 295.48477700494624 791 19:58
9.4% 570000 -75837.71522420782 14514.529510365124 -61323.18571384269 300.722580156875 792 19:56
9.5% 575000 -76074.68890100514 14424.744536413475 -61649.94436459166 298.8623497576205 793 19:53
9.6% 580000 -75835.18798699862 14562.34434712313 -61272.843639875486 301.71324272498504 793 19:51
9.7% 585000 -76585.20785063601 14570.589570530507 -62014.618280105504 301.88407326105346 794 19:49
9.8% 590000 -75865.7837168611 14563.169190969296 -61302.614525891804 301.7303324397752 795 19:46
9.8% 595000 -75889.8777626763 14606.041210010624 -61283.83655266568 302.61858611506216 796 19:44
9.9% 600000 -76241.11779410485 14410.362443388773 -61830.75535071608 298.5643710929069 797 19:42
10.0% 605000 -76007.38018955779 14449.39673298147 -61557.98345657632 299.3731118979412 796 19:41
10.1% 610000 -76558.54095632164 14424.122902490972 -62134.41805383067 298.8494702938422 796 19:40
10.2% 615000 -75903.88842674872 14428.654063157455 -61475.23436359126 298.94335017646307 796 19:40
10.2% 620000 -76217.19628459225 14988.8516156535 -61228.34466893875 310.54993055262156 796 19:39
10.3% 625000 -76713.84461112821 14392.593031684184 -62321.251579444026 298.19621149587294 795 19:39
10.4% 630000 -76388.22399853906 14530.072340549974 -61858.15165798909 301.0446078183841 795 19:38
10.5% 635000 -76119.89936160552 14628.211544543725 -61491.6878170618 303.07792723245586 794 19:37
10.6% 640000 -76095.8735982957 14181.376825551455 -61914.49677274424 293.8200805001131 794 19:37
10.7% 645000 -75799.99523965322 14851.101577900037 -60948.89366175318 307.6959250720893 794 19:36
10.7% 650000 -75898.22500560698 14512.966773551929 -61385.25823205504 300.6902022388561 793 19:36
10.8% 655000 -76132.41097145918 14437.473644976197 -61694.93732648298 299.12608068788217 793 19:35
10.9% 660000 -75814.20339460808 14283.166771669443 -61531.036622938635 295.92903864503745 793 19:35
11.0% 665000 -75722.97982579499 13947.539373920963 -61775.44045187403 288.9752660856043 792 19:34
11.1% 670000 -76496.79563624432 14497.695274079188 -61999.10036216513 300.3737962044043 792 19:34
11.2% 675000 -76480.75567908399 14664.643562686922 -61816.11211639707 303.83275228472644 791 19:33
11.2% 680000 -75821.3682231822 14313.624772209614 -61507.743450972586 296.56008965515247 791 19:32
11.3% 685000 -76307.62102463514 14639.523080918781 -61668.09794371636 303.31228787100196 791 19:32
11.4% 690000 -75934.50436324748 14986.462719858799 -60948.041643388686 310.5004356718818 791 19:31
11.5% 695000 -75812.02265446755 14349.046949983243 -61462.97570448431 297.293992100096 790 19:30
11.6% 700000 -76382.73211513142 14529.462031654626 -61853.2700834768 301.03196299475616 790 19:29
11.7% 705000 -75800.96003381716 14645.6001033164 -61155.35993050076 303.43819604141686 790 19:29
11.7% 710000 -75829.03665090096 14739.480410768228 -61089.55624013273 305.3832765390433 790 19:28
11.8% 715000 -76166.65632900433 14331.20807629733 -61835.448252707 296.92439333920674 790 19:27
11.9% 720000 -75842.2907675992 14458.309086860681 -61383.98168073852 299.5577645283908 789 19:26
12.0% 725000 -75867.91320230061 14460.55415948982 -61407.359042810785 299.6042795761705 789 19:26
12.1% 730000 -76306.66762220941 14446.93494556488 -61859.73267664453 299.3221067955584 789 19:25
12.1% 735000 -76281.17102166926 14408.70432297143 -61872.466698697826 298.53001694799593 789 19:24
12.2% 740000 -76324.50471627974 14288.15281131782 -62036.35190496192 296.0323430412808 789 19:23
12.3% 745000 -75875.21227755006 14414.53647029577 -61460.67580725429 298.6508516185223 788 19:22
12.4% 750000 -76051.87265509806 13971.01412902986 -62080.8585260682 289.4616331373132 788 19:21
12.5% 755000 -76092.89571439195 14214.534066380817 -61878.36164801114 294.5070563339469 788 19:20
12.6% 760000 -75868.10839419413 14547.12008910539 -61320.988305088744 301.39781547336116 788 19:20
12.6% 765000 -76442.35831705332 14352.885427739291 -62089.472889314035 297.37352047432597 788 19:19
12.7% 770000 -75906.64091316036 14475.645628404174 -61430.99528475618 299.91695560656063 788 19:18
12.8% 775000 -76286.35528695685 14423.86117915063 -61862.494107806226 298.84404771930133 787 19:17
12.9% 780000 -75922.8612924531 14716.650516836069 -61206.21077561704 304.9102701902613 787 19:16
13.0% 785000 -76052.24672275214 14777.40420334691 -61274.84251940523 306.1690092591739 787 19:16
13.1% 790000 -76524.32705459485 14441.47037867324 -62082.856675921605 299.208887923812 786 19:15
13.1% 795000 -76386.32001523243 14559.00122523842 -61827.31878999401 301.6439774940156 786 19:15
13.2% 800000 -76422.45084435388 14472.866039877214 -61949.58480447667 299.859366069607 786 19:14
13.3% 805000 -76028.59597855927 14572.46501917264 -61456.13095938663 301.9229301702086 786 19:13
13.4% 810000 -75885.21579888283 14460.490765123146 -61424.72503375968 299.60296612556914 786 19:12
13.5% 815000 -75774.96259497502 14674.113213529456 -61100.849381445565 304.02895139903586 785 19:11
13.6% 820000 -76369.22696608155 14101.156783488163 -62268.07018259339 292.1580233171821 785 19:10
