#"Progress (%)" "Step" "Potential Energy (kJ/mole)" "Kinetic Energy (kJ/mole)" "Total Energy (kJ/mole)" "Temperature (K)" "Speed (ns/day)" "Time Remaining"
80.9% 445000 -76286.77508544606 14588.284721044109 -61698.49036440195 302.2506942607155 910 0:19
81.8% 450000 -76656.28327708619 14212.874991058266 -62443.408286027916 294.47268240461517 910 0:18
82.7% 455000 -76508.52073440776 14562.457342480779 -61946.06339192699 301.71558384499684 910 0:18
83.6% 460000 -76906.15929978195 14611.05533281621 -62295.10396696575 302.722472358584 909 0:17
84.5% 465000 -76921.9731364607 14651.664687584842 -62270.30844887586 303.56384650962406 909 0:16
85.5% 470000 -76508.71564053465 14785.452496976062 -61723.263143558586 306.3357596608518 908 0:15
86.4% 475000 -76051.1855853615 14663.211887087535 -61387.97369827396 303.80308978826815 908 0:14
87.3% 480000 -76299.8879829378 14564.338321991898 -61735.5496609459 301.7545553467187 908 0:13
88.2% 485000 -76871.58790469039 14214.889703681652 -62656.69820100874 294.5144246862335 908 0:12
89.1% 490000 -76539.07512740023 14576.491295667021 -61962.5838317332 302.00634949530286 908 0:11
90.0% 495000 -76716.86722921365 14477.830612702404 -62239.03661651124 299.9622257005928 908 0:10
90.9% 500000 -76584.89575258305 14401.832120670819 -62183.06363191223 298.38763366194286 908 0:09
91.8% 505000 -76592.38541024883 14510.964404248885 -62081.42100599994 300.648715695127 908 0:08
92.7% 510000 -75966.83007992644 14536.782489084284 -61430.04759084216 301.18363355663024 907 0:07
93.6% 515000 -76413.99061492065 14342.359696741745 -62071.630918178904 297.15544072318016 906 0:06
94.5% 520000 -76078.86186606582 14381.816104700298 -61697.04576136553 297.972927283564 906 0:05
95.5% 525000 -76579.12281770102 14206.7817788405 -62372.34103886052 294.3464388017301 906 0:04
96.4% 530000 -76563.23293773962 14438.779166297038 -62124.45377144258 299.15312942823385 906 0:03
97.3% 535000 -77069.89369072884 14210.080920440558 -62859.812770288285 294.4147928171712 906 0:02
98.2% 540000 -76631.63508503439 14445.792065188016 -62185.843019846376 299.29842776858777 906 0:01
99.1% 545000 -76750.38446096273 14346.678331666935 -62403.706129295795 297.24491734290325 906 0:00
100.0% 550000 -76490.9694101032 14318.755326173623 -62172.21408392957 296.6663882041057 906 0:00
