#"Progress (%)" "Step" "Potential Energy (kJ/mole)" "Kinetic Energy (kJ/mole)" "Total Energy (kJ/mole)" "Temperature (K)" "Speed (ns/day)" "Time Remaining"
7.5% 455000 -76447.41171799615 14453.930932537574 -61993.480785458574 299.544456410811 741 21:45
7.6% 460000 -76480.86910944524 14495.322114889848 -61985.54699455539 300.4022506866921 740 21:44
7.7% 465000 -76742.76591121592 14288.872795032941 -62453.893116182975 296.12377795968416 740 21:43
7.8% 470000 -76694.14527960413 14792.446423266647 -61901.698856337476 306.5598793521794 740 21:43
7.9% 475000 -76495.95935324495 14273.802900112229 -62222.156453132724 295.81146821479456 740 21:42
7.9% 480000 -76404.23543482865 14520.829672155809 -61883.40576267284 300.93087140663755 739 21:42
8.0% 485000 -76322.60448031318 14068.529005286231 -62254.07547502695 291.55735509304407 739 21:41
8.1% 490000 -76599.75148954932 14640.639131452313 -61959.11235809701 303.4138125197057 739 21:40
8.2% 495000 -76934.89015255056 14647.875608837116 -62287.01454371345 303.56378187369506 738 21:40
8.3% 500000 -76684.10325325702 14233.88487929534 -62450.21837396169 294.98420386003875 738 21:39
8.3% 505000 -76697.0968014783 14674.005744094493 -62023.091057383805 304.10530495126784 738 21:38
8.4% 510000 -76105.53910337697 14615.56532194035 -61489.97378143662 302.89418082397776 738 21:37
8.5% 515000 -76757.6721333199 14630.822598983183 -62126.84953433671 303.21037389141634 737 21:36
8.6% 520000 -76274.15864867151 14527.155824309655 -61747.00282436186 301.0619751054819 737 21:36
8.7% 525000 -76609.32639987566 14213.39600560836 -62395.9303942673 294.55959075238786 737 21:35
8.8% 530000 -76447.31784836005 14328.752372159337 -62118.56547620071 296.9502456042284 737 21:34
8.8% 535000 -76849.95020142724 14325.00414037536 -62524.94606105189 296.8725669396856 737 21:33
8.9% 540000 -77075.49203082101 14434.817809173368 -62640.67422164764 299.1483544662835 736 21:33
9.0% 545000 -76502.04838185952 14626.397144888391 -61875.651236971134 303.11866041586546 736 21:32
9.1% 550000 -77030.33303699375 14804.871074433242 -62225.461962560505 306.8173688474013 736 21:31
9.2% 555000 -76361.97551698546 14584.254052583014 -61777.72146440245 302.2452834961192 737 21:28
9.3% 560000 -76538.39523768198 14613.39301994948 -61925.0022177325 302.8491618584069 738 21:26
9.3% 565000 -76007.95858372899 14442.504366760551 -61565.45421696844 299.30765131949727 738 21:23
9.4% 570000 -76381.9711917352 14334.478480452606 -62047.49271128259 297.0689139446309 739 21:20
9.5% 575000 -76442.22240959098 14328.81395181305 -62113.40845777793 296.95152178604934 740 21:18
9.6% 580000 -76297.5606635545 14780.261797968627 -61517.29886558587 306.3073641728486 741 21:15
9.7% 585000 -76667.19192440453 14579.252505440323 -62087.939418964204 302.1416310207432 742 21:13
9.8% 590000 -76247.37764907462 14281.741769587965 -61965.63587948666 295.9759940003905 742 21:10
9.8% 595000 -76797.39068410022 14247.760305849246 -62549.63037825097 295.2717593440076 743 21:08
9.9% 600000 -76841.81553434335 14567.089220199348 -62274.726314144 301.8895580945142 744 21:05
10.0% 605000 -76318.63409888536 14362.07364105844 -61956.56045782693 297.64079832832033 743 21:05
10.1% 610000 -76561.04462202215 14349.495506550244 -62211.549115471906 297.3801280316719 743 21:05
10.2% 615000 -76591.02422467487 14196.494648635979 -62394.52957603889 294.20932563693054 742 21:05
10.2% 620000 -76553.36767753931 14662.904723704421 -61890.46295383489 303.87524648939547 742 21:04
