#"Progress (%)" "Step" "Potential Energy (kJ/mole)" "Kinetic Energy (kJ/mole)" "Total Energy (kJ/mole)" "Temperature (K)" "Speed (ns/day)" "Time Remaining"
7.2% 435000 -76280.0755731233 14626.645052823218 -61653.43052030008 303.12379808034746 727 22:14
7.3% 440000 -76400.5539636229 14594.444000596564 -61806.10996302633 302.4564608189402 727 22:13
7.4% 445000 -75994.54928854402 14464.688387498609 -61529.86090104541 299.7673947944041 727 22:12
7.4% 450000 -76416.84115724289 14575.73862926502 -61841.10252797787 302.06880916115784 726 22:11
7.5% 455000 -76482.62218773871 14718.58611121672 -61764.036076521996 305.0291921552783 726 22:11
7.6% 460000 -76175.0372856179 14327.970729507813 -61847.06655611009 296.93404677746975 726 22:10
7.7% 465000 -76304.68627201422 14671.88605727561 -61632.800214738614 304.0613763868595 726 22:09
7.8% 470000 -76128.72900024391 14431.845603954349 -61696.88339628956 299.08675824025835 726 22:08
7.9% 475000 -76277.75885758421 14565.871184355445 -61711.88767322876 301.86431541925486 726 22:07
7.9% 480000 -76073.64344306088 14534.722690798088 -61538.92075226279 301.21879147049634 726 22:06
8.0% 485000 -76104.23236613834 14643.774867956548 -61460.45749818179 303.47879778156926 725 22:05
8.1% 490000 -76246.14543348427 14470.246579553032 -61775.89885393124 299.8825832248276 725 22:04
8.2% 495000 -76289.87450062518 14464.857403620339 -61825.01709700485 299.7708974984467 725 22:03
8.3% 500000 -75673.92407413865 13977.497157185442 -61696.426916953205 289.6708035671862 725 22:02
8.3% 505000 -76550.0973441464 14402.26571003515 -62147.83163411125 298.4737420797362 725 22:01
8.4% 510000 -75991.68560986739 14218.967500355358 -61772.71810951203 294.67505486890917 725 22:00
8.5% 515000 -76010.76428578902 14358.661812068636 -61652.102473720384 297.5700913030213 725 22:00
8.6% 520000 -76064.75648443514 14605.1202368666 -61459.636247568546 302.6777160196844 724 21:59
8.7% 525000 -76232.44634811083 14572.555385453872 -61659.89096265695 302.00283935394873 724 21:58
8.8% 530000 -76327.64200773672 14478.027255930732 -61849.61475180599 300.04383060361647 724 21:57
8.8% 535000 -76500.39754110007 14134.123317837268 -62366.27422326281 292.91673703477665 724 21:55
8.9% 540000 -76493.19799527847 14462.515528639982 -62030.68246663849 299.72236428825994 724 21:54
9.0% 545000 -76127.28218367879 14392.084554859075 -61735.19762881972 298.262746980404 724 21:53
9.1% 550000 -76113.52677766222 14341.13619813491 -61772.39057952731 297.2068890348254 724 21:53
9.2% 555000 -76022.06225803644 14661.06095300475 -61361.00130503169 303.8370360333917 725 21:50
9.3% 560000 -75884.74589069615 14584.5608510481 -61300.18503964806 302.25164161280594 726 21:47
9.3% 565000 -76506.62153427106 14386.939500441087 -62119.68203382997 298.15612044842226 726 21:44
9.4% 570000 -76313.40803470348 14606.246365642579 -61707.16166906089 302.7010540052901 727 21:42
9.5% 575000 -75746.83509427325 14584.628855160658 -61162.206239112595 302.25305093564174 728 21:39
9.6% 580000 -76674.67236270594 14295.640628727018 -62379.03173397892 296.264035103186 729 21:36
9.7% 585000 -75687.68458450874 14631.424567308033 -61056.26001720071 303.2228491326144 730 21:34
9.8% 590000 -76104.58904564961 14488.429114229433 -61616.15993142018 300.2593995726595 731 21:31
9.8% 595000 -76391.64468143703 14512.072355623675 -61879.57232581335 300.7493840567617 731 21:28
9.9% 600000 -76140.3836495791 14825.198010772017 -61315.18563880709 307.23862595209584 732 21:26
10.0% 605000 -76072.33213047816 14499.724593175315 -61572.60753730284 300.4934880096761 732 21:26
10.1% 610000 -76334.93878226433 14531.987278913932 -61802.9515033504 301.16210256906714 731 21:26
10.2% 615000 -76334.33587268576 14610.916891002911 -61723.418981682844 302.7978463579548 730 21:26
10.2% 620000 -76454.41584886806 14814.260800696531 -61640.155048171524 307.0119623086895 730 21:25
10.3% 625000 -76099.92015698503 14301.687296893728 -61798.2328600913 296.38934675283673 729 21:25
10.4% 630000 -76270.11233019264 14189.608330895415 -62080.50399929723 294.06661302028 729 21:25
10.5% 635000 -75754.82489969397 14541.914732362418 -61212.910167331545 301.36783993287844 728 21:25
10.6% 640000 -76216.72070572665 14463.528868402798 -61753.19183732385 299.7433648250571 727 21:25
10.7% 645000 -76582.18948273387 14343.335998461354 -62238.85348427251 297.25247787817 727 21:25
10.7% 650000 -76428.31496550298 14390.11689817632 -62038.198067326666 298.2219691010721 726 21:25
10.8% 655000 -76813.75492642158 14386.675845398055 -62427.07908102352 298.1506564395714 726 21:24
10.9% 660000 -75934.77371120642 14096.44903447242 -61838.324676734 292.135972079979 725 21:24
11.0% 665000 -75975.63581733452 14408.914923412265 -61566.720893922255 298.6115409260088 724 21:24
11.1% 670000 -76523.98415296702 14538.875505585904 -61985.108647381116 301.3048547465697 724 21:24
11.2% 675000 -75930.70508691331 14669.035238336832 -61261.66984857648 304.0022957801147 723 21:24
11.2% 680000 -76325.50090245268 14396.686309224759 -61928.81459322792 298.3581141173053 723 21:24
11.3% 685000 -76488.05306933948 14271.767766447365 -62216.285302892116 295.7692919369218 722 21:23
11.4% 690000 -76168.44164328655 14329.162111687094 -61839.27953159946 296.9587370799857 722 21:23
11.5% 695000 -76200.66974373758 14410.781696982427 -61789.88804675516 298.65022809539727 721 21:23
11.6% 700000 -76186.5329439482 14583.987638768564 -61602.545305179636 302.239762314262 721 21:23
11.7% 705000 -77090.71239993282 14550.03562968365 -62540.67677024916 301.5361380785531 720 21:22
11.7% 710000 -76052.48810229023 14610.889325886927 -61441.5987764033 302.7972750962183 719 21:22
11.8% 715000 -75541.12277317577 14749.617098863668 -60791.5056743121 305.6722809018608 719 21:22
11.9% 720000 -75861.4420067977 14608.654408458038 -61252.787598339666 302.75095848314714 718 21:21
12.0% 725000 -76081.17697890985 14485.596927357166 -61595.58005155268 300.20070509839735 718 21:21
12.1% 730000 -76556.06163286071 14454.03749416911 -62102.0241386916 299.54666480284914 718 21:21
12.1% 735000 -75943.82078260757 14374.109603647015 -61569.711178960555 297.890232609403 717 21:20
12.2% 740000 -76327.0100910413 14301.369539665042 -62025.64055137626 296.3827615258295 717 21:20
12.3% 745000 -76281.30242935652 14193.788264077448 -62087.51416527908 294.153238300191 716 21:19
12.4% 750000 -75703.18232726668 14366.732503500281 -61336.4498237664 297.73734897770055 716 21:19
12.5% 755000 -75916.60427687666 14626.39665829741 -61290.207618579254 303.1186503317138 715 21:18
12.6% 760000 -75843.57200931478 14528.412130802748 -61315.15987851204 301.0880109048305 715 21:18
12.6% 765000 -76399.54181177182 14492.994266044681 -61906.54754572714 300.3540081552876 715 21:17
12.7% 770000 -76466.6783916607 14235.531747968753 -62231.14664369194 295.0183337022153 714 21:17
12.8% 775000 -76125.81441483027 14875.065069282618 -61250.74934554765 308.27207498434063 714 21:16
12.9% 780000 -76436.419612369 14610.935311621408 -61825.4843007476 302.7982281083714 713 21:16
13.0% 785000 -76411.2250388363 14302.125713875952 -62109.09932496035 296.398432542525 713 21:16
13.1% 790000 -76265.76293934137 14355.471262723677 -61910.29167661769 297.5039700953271 712 21:15
13.1% 795000 -76314.21402304969 14430.511886430242 -61883.702136619446 299.0591181683202 712 21:15
13.2% 800000 -75866.43113975346 14303.33306123315 -61563.098078520314 296.4234537087045 712 21:14
13.3% 805000 -76863.8430411013 14504.535424158403 -62359.3076169429 300.5931880676354 711 21:14
13.4% 810000 -76331.69101457595 14323.88750709175 -62007.8035074842 296.8494257394467 711 21:13
13.5% 815000 -75796.09686752109 14797.778553312557 -60998.31831420853 306.67038285489906 711 21:12
13.6% 820000 -76600.28074123245 14352.304336070514 -62247.976405161935 297.43833844624544 710 21:12
13.6% 825000 -76194.8198552001 14498.93526316111 -61695.88459203899 300.4771298693794 710 21:11
13.7% 830000 -75972.85321555921 14275.17235926344 -61697.680856295774 295.83984899915976 710 21:11
13.8% 835000 -76153.30476699403 14901.336528787566 -61251.968238206464 308.8165268772726 709 21:10
13.9% 840000 -76251.61272348535 14626.55172332857 -61625.06100015678 303.1218639122051 709 21:09
14.0% 845000 -76893.82051336952 14481.182337427652 -62412.638175941865 300.1092167727034 709 21:09
14.0% 850000 -76404.96390916489 14413.848672191829 -61991.115236973055 298.71378834251715 708 21:08
14.1% 855000 -76429.44105323602 14553.600161684095 -61875.840891551925 301.6100097336355 708 21:08
14.2% 860000 -76010.10933500208 14659.869483552222 -61350.23985144986 303.8123439222177 708 21:07
14.3% 865000 -76132.90893561291 14550.963988520982 -61581.94494709193 301.55537746364365 707 21:06
14.4% 870000 -75911.93127438842 14510.79823339733 -61401.13304099109 300.72297904268817 707 21:06
14.5% 875000 -76393.92404130535 14333.976566067779 -62059.94747523757 297.05851222953555 707 21:05
14.5% 880000 -76606.41813607009 14061.38348497482 -62545.034651095266 291.40927074094327 706 21:04
14.6% 885000 -76578.19694794076 14392.478296398996 -62185.718651541756 298.2709069125424 706 21:04
14.7% 890000 -76118.14543083734 14570.535651366199 -61547.60977947114 301.96098221818335 706 21:03
14.8% 895000 -76135.41474275326 14284.314350256676 -61851.100392496584 296.029308374285 705 21:02
14.9% 900000 -76301.00987499961 14233.336645929707 -62067.6732290699 294.97284222656606 705 21:02
15.0% 905000 -76305.27027689083 14046.958675443819 -62258.311601447014 291.110329798859 705 21:01
15.0% 910000 -76242.82184753258 14688.003456902108 -61554.81839063048 304.39539470564137 705 21:00
15.1% 915000 -76360.86716438198 14674.332412853304 -61686.53475152868 304.11207486156013 704 20:59
15.2% 920000 -76343.90216855076 14346.949237619208 -61996.952930931555 297.3273589443985 704 20:59
15.3% 925000 -76099.20433056279 14513.537135101165 -61585.667195461625 300.77974026742817 704 20:58
15.4% 930000 -75582.3961297332 14495.398805077146 -61086.997324656055 300.40384002045704 703 20:57
15.5% 935000 -76328.91466408179 14845.51100371523 -61483.40366036656 307.6595940927111 703 20:57
