#"Progress (%)" "Step" "Potential Energy (kJ/mole)" "Kinetic Energy (kJ/mole)" "Total Energy (kJ/mole)" "Temperature (K)" "Speed (ns/day)" "Time Remaining"
79.1% 435000 -76757.76824203279 14393.298299219072 -62364.46994281372 298.28790071859703 481 0:41
80.0% 440000 -76205.43049036502 14368.728886488396 -61836.70160387662 297.77872218335335 481 0:39
80.9% 445000 -76341.64217379139 14586.033879172635 -61755.60829461875 302.2821687691139 480 0:37
81.8% 450000 -76522.33863459474 14708.515133617966 -61813.82350097677 304.8204803851429 480 0:35
82.7% 455000 -75979.25451877376 14172.871641007512 -61806.38287776624 293.7197604790586 480 0:34
83.6% 460000 -76245.78717741005 14482.785040413506 -61763.00213699654 300.1424313215294 480 0:32
84.5% 465000 -76709.8796633342 14981.534519724428 -61728.34514360977 310.478556653985 479 0:30
85.5% 470000 -76831.07811996278 14542.312159986344 -62288.76595997644 301.3760762557256 479 0:28
86.4% 475000 -77119.076965393 14458.023748285164 -62661.05321710784 299.6292762618275 479 0:27
87.3% 480000 -76218.7047267126 14188.55519759916 -62030.14952911344 294.0447877990148 479 0:25
88.2% 485000 -76851.73119595036 14805.750031401634 -62045.98116454872 306.8355844240866 478 0:23
89.1% 490000 -76489.20896970245 14494.117137547808 -61995.09183215464 300.37727863690213 478 0:21
90.0% 495000 -76047.3635590952 14499.746500511465 -61547.61705858374 300.4939420191168 478 0:19
90.9% 500000 -76701.85586683374 14111.524827015006 -62590.33103981873 292.4484040476706 477 0:18
91.8% 505000 -76473.94918185743 14302.781546352142 -62171.16763550529 296.4120240688367 477 0:16
92.7% 510000 -77024.8468052421 14276.978634110716 -62747.86817113138 295.87728238802686 477 0:14
93.6% 515000 -76781.3188233855 14378.529154647986 -62402.78966873752 297.98182374875074 477 0:12
94.5% 520000 -76267.41558230747 14089.76001346739 -62177.65556884008 291.99734825714324 477 0:10
95.5% 525000 -76153.7748969794 14773.801956947003 -61379.9729400324 306.17348989488545 476 0:09
96.4% 530000 -76592.0293707533 14152.42739787369 -62439.60197287961 293.2960722986713 476 0:07
97.3% 535000 -76478.5257113987 14252.911734380905 -62225.6139770178 295.37851797364664 476 0:05
98.2% 540000 -76733.44534265817 14522.546161009228 -62210.89918164894 300.9664440631649 476 0:03
99.1% 545000 -76961.71357133402 14399.217954232987 -62562.49561710104 298.41058013719663 476 0:01
100.0% 550000 -76818.88775495207 14789.11503709725 -62029.77271785482 306.4908394305232 476 0:00
